
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1176
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1053           0.0.0.0:0              LISTENING       11956
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       7912
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       15404
  TCP    0.0.0.0:8082           0.0.0.0:0              LISTENING       31272
  TCP    0.0.0.0:21904          0.0.0.0:0              LISTENING       21016
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       996
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       824
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1832
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2412
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4380
  TCP    0.0.0.0:49689          0.0.0.0:0              LISTENING       924
  TCP    127.0.0.1:3223         127.0.0.1:7890         CLOSE_WAIT      10916
  TCP    127.0.0.1:3391         127.0.0.1:7890         CLOSE_WAIT      10916
  TCP    127.0.0.1:3404         127.0.0.1:7890         CLOSE_WAIT      10916
  TCP    127.0.0.1:4001         0.0.0.0:0              LISTENING       31272
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       31272
  TCP    127.0.0.1:4310         0.0.0.0:0              LISTENING       31272
  TCP    127.0.0.1:4709         0.0.0.0:0              LISTENING       21016
  TCP    127.0.0.1:5196         0.0.0.0:0              LISTENING       39012
  TCP    127.0.0.1:5283         0.0.0.0:0              LISTENING       2500
  TCP    127.0.0.1:5284         0.0.0.0:0              LISTENING       31272
  TCP    127.0.0.1:6838         127.0.0.1:7890         ESTABLISHED     3348
  TCP    127.0.0.1:7344         127.0.0.1:7890         ESTABLISHED     3348
  TCP    127.0.0.1:7890         0.0.0.0:0              LISTENING       11956
  TCP    127.0.0.1:7890         127.0.0.1:3223         FIN_WAIT_2      11956
  TCP    127.0.0.1:7890         127.0.0.1:3391         FIN_WAIT_2      11956
  TCP    127.0.0.1:7890         127.0.0.1:3404         FIN_WAIT_2      11956
  TCP    127.0.0.1:7890         127.0.0.1:6838         ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:7344         ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:9601         ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:19917        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:20010        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:20014        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:20023        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:25175        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:25920        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:25999        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:26040        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:26054        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:26055        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:26103        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:26189        TIME_WAIT       0
  TCP    127.0.0.1:7890         127.0.0.1:26204        ESTABLISHED     11956
  TCP    127.0.0.1:7890         127.0.0.1:26235        TIME_WAIT       0
